fragment_ID,species,date,time,site,depth_m,temp_C,collector,old_tag,intake_reflectance?,status,status_date,tank,treatment,sample_time,notes
DB-sid20-051426,ssid,2026-05-14,na,Dania,9,27,HML,na,NA,H,2026-05-26T00:00:00Z,10,control,T2,NA
DB-sid28-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,3,+2C,T5,NA
DB-sid38-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,5,control,T2,NA
DB-sid18-051426,ssid,2026-05-14,na,Dania,9,27,HML,na,NA,P,2026-05-26T00:00:00Z,8,+4C,T3,NA
DB-sid29-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,7,control,T1,NA
DB-sid04-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,10,control,T5,NA
DB-sid30-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,9,+2C,T3,NA
DB-sid02-051426,ssid,2026-05-14,na,Dania,9.1,27,HML,na,NA,H,2026-05-26T00:00:00Z,4,+4C,T1,NA
DB-sid01-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,12,+2C,T1,NA
DB-sid15-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,3,+2C,T1,NA
DB-sid09-051426,ssid,2026-05-14,na,Dania,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,11,+4C,T1,NA
EMERALD-sid27-052026,ssid,2026-05-20,na,Emerald Reef,7.3,28,VRR,na,NA,P,2026-05-26T00:00:00Z,10,control,T1,NA
EMERALD-sid09-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,HML,na,NA,P,2026-05-26T00:00:00Z,7,control,T4,NA
EMERALD-sid07-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,HML,na,NA,P,2026-05-26T00:00:00Z,7,control,T5,NA
EMERALD-sid02-052026,ssid,2026-05-20,na,Emerald Reef,NA,28,NA,na,NA,P,2026-05-26T00:00:00Z,8,+4C,T4,NA
EMERALD-sid16-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,HML,na,NA,P,2026-05-26T00:00:00Z,10,control,T5,NA
EMERALD-sid13-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,HML,na,NA,P,2026-05-26T00:00:00Z,4,+4C,T2,NA
EMERALD-sid19-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,VRR,na,NA,H,2026-05-26T00:00:00Z,8,+4C,T5,NA
EMERALD-sid25-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,VRR,na,NA,P,2026-05-26T00:00:00Z,5,control,T4,NA
EMERALD-sid20-052026,ssid,2026-05-20,na,Emerald Reef,7.7,28,HML,na,NA,P,2026-05-26T00:00:00Z,5,control,T3,NA
EMERALD-sid15-052026,ssid,2026-05-20,na,Emerald Reef,7.4,28,HML,na,NA,P,2026-05-26T00:00:00Z,4,+4C,T4,NA
EMERALD-sid34-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,VRR,na,NA,P,2026-05-26T00:00:00Z,12,+2C,T2,NA
EMERALD-sid04-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,HML,na,NA,P,2026-05-26T00:00:00Z,3,+2C,T2,NA
EMERALD-sid01-052026,ssid,2026-05-20,na,Emerald Reef,7.7,28,HML,na,NA,P,2026-05-26T00:00:00Z,9,+2C,T3,NA
EMERALD-sid08-052026,ssid,2026-05-20,na,Emerald Reef,7.8,28,HML,na,NA,P,2026-05-26T00:00:00Z,3,+2C,T1,NA
EMERALD-sid37-052026,ssid,2026-05-20,na,Emerald Reef,7.8,28,HML,na,NA,P,2026-05-26T00:00:00Z,4,+4C,T3,NA
EMERALD-sid31-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,VRR,na,NA,P,2026-05-26T00:00:00Z,11,+4C,T3,NA
EMERALD-sid11-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,HML,na,NA,P,2026-05-26T00:00:00Z,11,+4C,T3,NA
EMERALD-sid29-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,VRR,na,NA,P,2026-05-26T00:00:00Z,12,+2C,T3,NA
EMERALD-sid24-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,VRR,na,NA,P,2026-05-26T00:00:00Z,6,+2C,T4,NA
EMERALD-sid21-052026,ssid,2026-05-20,na,Emerald Reef,7.3,28,VRR,na,NA,H,2026-05-26T00:00:00Z,10,control,T1,NA
EMERALD-sid03-052026,ssid,2026-05-20,na,Emerald Reef,7.8,28,HML,na,NA,P,2026-05-26T00:00:00Z,2,control,T3,NA
EMERALD-sid30-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,VRR,na,NA,P,2026-05-26T00:00:00Z,8,+4C,T5,NA
EMERALD-sid17-052026,ssid,2026-05-20,na,Emerald Reef,8,28,HML,na,NA,P,2026-05-26T00:00:00Z,9,+2C,T4,NA
EMERALD-sid12-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,HML,na,NA,P,2026-05-26T00:00:00Z,5,control,T3,NA
EMERALD-sid06-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,HML,na,NA,P,2026-05-26T00:00:00Z,3,+2C,T5,NA
EMERALD-sid22-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,VRR,na,NA,P,2026-05-26T00:00:00Z,2,control,T1,NA
EMERALD-sid33-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,VRR,na,NA,P,2026-05-26T00:00:00Z,6,+2C,T3,NA
EMERALD-sid14-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,HML,na,NA,P,2026-05-26T00:00:00Z,7,control,T2,NA
EMERALD-sid18-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,VRR,na,NA,H,2026-05-26T00:00:00Z,6,+2C,T2,tissue loss during collection
EMERALD-sid28-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,VRR,na,NA,P,2026-05-26T00:00:00Z,11,+4C,T1,NA
EMERALD-sid36-052026,ssid,2026-05-20,na,Emerald Reef,7.9,28,VRR,na,NA,P,2026-05-26T00:00:00Z,12,+2C,T1,NA
EMERALD-sid05-052026,ssid,2026-05-20,na,Emerald Reef,8,28,HML,na,NA,P,2026-05-26T00:00:00Z,1,+4C,T1,NA
EMERALD-sid26-052026,ssid,2026-05-20,na,Emerald Reef,7.6,28,VRR,na,NA,P,2026-05-26T00:00:00Z,9,+2C,T5,NA
EMERALD-sid10-052026,ssid,2026-05-20,na,Emerald Reef,8,28,HML,na,NA,P,2026-05-26T00:00:00Z,1,+4C,T2,NA
GRA-sid26-051426,ssid,2026-05-14,na,Graceland,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,10,control,T4,NA
GRA-sid18-051426,ssid,2026-05-14,na,Graceland,na,27,HML,na,NA,P,2026-05-26T00:00:00Z,6,+2C,T1,NA
GRA-sid03-051426,ssid,2026-05-14,na,Graceland,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,8,+4C,T2,NA
GRA-sid15-051426,ssid,2026-05-14,na,Graceland,na,27,HML,na,NA,P,2026-05-26T00:00:00Z,4,+4C,T5,NA
GRA-sid33-051426,ssid,2026-05-14,na,Graceland,na,27,HML,na,NA,P,2026-05-26T00:00:00Z,2,control,T5,NA
GRA-sid19-051426,ssid,2026-05-14,na,Graceland,na,27,ROS,na,NA,H,2026-05-26T00:00:00Z,8,+4C,T1,NA
GRA-sid08-051426,ssid,2026-05-14,na,Graceland,na,27,HML,na,NA,P,2026-05-26T00:00:00Z,2,control,T3,NA
GRA-sid11-051426,ssid,2026-05-14,na,Graceland,na,27,HML,na,NA,P,2026-05-26T00:00:00Z,3,+2C,T5,NA
GRA-sid16-051426,ssid,2026-05-14,na,Graceland,na,27,HML,na,NA,P,2026-05-26T00:00:00Z,9,+2C,T3,NA
GRA-sid06-051426,ssid,2026-05-14,na,Graceland,NA,27,NA,na,NA,H,2026-05-26T00:00:00Z,6,+2C,T5,NA
GRA-sid30-051426,ssid,2026-05-14,na,Graceland,9.4,27,HML,na,NA,P,2026-05-26T00:00:00Z,7,control,T1,NA
GRA-sid28-051426,ssid,2026-05-14,na,Graceland,na,27,ROS,na,NA,P,2026-05-26T00:00:00Z,3,+2C,T3,NA
GRA-sid07-051426,ssid,2026-05-14,na,Graceland,9.5,27,HML,na,NA,P,2026-05-26T00:00:00Z,10,control,T1,NA
GRA-sid09-051426,ssid,2026-05-14,na,Graceland,9.5,27,HML,na,NA,P,2026-05-26T00:00:00Z,4,+4C,T3,NA
